Priority,Shop,Company,Category,City,Named owner/director,Public business email,Public phone,Website,Legal/contact source,Useful personalization hook,Potential service angle,Qualification / caveat,Research date,Outreach status
A,nuukk,nuukk GmbH,Design-led family and home products,Bamberg,Andrea Hild,hello@nuukk.com,+49 951 16095490,https://nuukk.com/,https://nuukk.com/impressum/,"Founder-led design brand with a dedicated Händlershop, freebies, and products for kitchen and children.","Improve retailer/B2B acquisition, seasonal landing pages, or email flows around new collections.","Clear founder/director and generic company inbox; appears SMB.",2026-06-12,Not contacted
A,Nauli,Eva-Dewi Pangestian Harahap & Johanna Pangestian Harahap GbR,Stationery and Japanese lifestyle,Wolfratshausen / Munich,Eva-Dewi Pangestian Harahap; Johanna Pangestian Harahap,hello@nauli.de,+49 179 4838022,https://nauli.de/,https://nauli.de/pages/impressum,"Sister-owned, owner-operated shop with a physical Nauli & Stories store and strong customer comments about personal packaging.","Connect the personal in-store experience to online retention, gift bundles, and local SEO.","Direct owner names and public company inbox; strong small-business fit.",2026-06-12,Not contacted
A,typealive,Biermann Averbeck GbR,Art prints and graphic design,Münster,Jan Biermann; Sabine Averbeck,post@typealive.de,,https://typealive.de/,https://typealive.de/pages/impressum,"Graphic-design studio with playful text-and-image products and next-working-day dispatch messaging.","Product-page CRO, print bundles, gift guides, or organic-search content around occasions.","Direct partner names and business inbox; strong small-business fit.",2026-06-12,Not contacted
A,Heldenglück,Unbunt & Heldenglück GmbH,Gifts and stationery,Dülmen,Tristan Vorholt; Verena Vorholt,glueckspost@heldenglueck.de,+49 2594 79795306,https://heldenglueck.de/,https://heldenglueck.de/pages/impressum,"Gift-focused brand led by Verena and Tristan; prominently communicates a 4.9/5 GlücksGarantie and fast delivery.","Seasonal gift campaigns, occasion landing pages, personalization, and repeat-purchase flows.","Named directors and friendly generic inbox; strong outreach fit.",2026-06-12,Not contacted
A,19grams,Tres Cabezas GmbH,Specialty coffee,Berlin,Sascha Spittel,info@19grams.coffee,+49 30 16639599,https://19grams.coffee/,https://19grams.coffee/policies/legal-notice,"Specialty-coffee brand with events, office coffee, B2B gifts, wholesale portal, and subscriptions/newsletter activity.","Build a clearer B2B lead funnel and segment consumer subscription/email journeys.","Established SMB; approach the general business inbox with a relevant B2B angle.",2026-06-12,Not contacted
A,recolution,recolution GmbH & Co. KG,Sustainable apparel,Hamburg,Jan Thelen; Robert Diekmann,mail@recolution.de,+49 40 38669075,https://recolution.de/,https://recolution.de/policies/legal-notice,"Organic and fair fashion brand with Repair & Care, partner program, retailer acquisition, certifications, and producer stories.","Turn sustainability content into product discovery; improve partner acquisition and lifecycle retention.","Named directors and non-support business inbox available.",2026-06-12,Not contacted
A,Spicebar,Spicebar GmbH,Organic spices and food,Berlin,Kai Dräger,info@spicebar.de,+49 30 340602542,https://www.spicebar.de/,https://www.spicebar.de/impressum,"Large spice range supported by recipes and organic certification.","Recipe-to-cart SEO, bundles, merchandising, and replenishment email flows.","Named director and generic inbox; likely medium-size e-commerce operation.",2026-06-12,Not contacted
A,Pauls Beute,Pauls Beute GmbH,Dog food,Nordhorn,Sven Kramer,paul@paulsbeute.de,+49 5921 7091355,https://www.paulsbeute.de/,https://www.paulsbeute.de/content/4-impressum,"Clear product positioning around single animal-protein sources, grain-free recipes, puppies, treats, and trial packs.","Need-based product finder, subscription/reorder flows, and trial-pack conversion.","Named director and brand-specific public inbox.",2026-06-12,Not contacted
A,LILA LOVES IT,FINIDORE Manufaktur GmbH,Natural dog care,Greifenberg,Stefanie Diem,lila@lila-loves-it.com,+49 8192 9967430,https://lila-loves-it.com/,https://lila-loves-it.com/de/impressum/,"Natural dog-care store organizes products by specific concerns such as itching, digestion, skin irritation, and coat change.","Concern-based quiz, educational SEO, bundles, and post-purchase care flows.","Named director and public business inbox; strong personalization options.",2026-06-12,Not contacted
A,nkm,nkm Naturkosmetik München GmbH,Natural skincare,Munich,Mareike Hefele; Alexander Hefele,hallo@nkm-atelier.de,+49 89 62824236,https://nkm-atelier.de/,https://nkm-atelier.de/policies/legal-notice,"Natural-cosmetics brand with physical ateliers in Munich, Hamburg, and Berlin plus online club gifts.","Connect atelier expertise to online consultations, routines, local SEO, and retention.","Named directors and public inbox; established omnichannel SMB.",2026-06-12,Not contacted
A,WIJLD,wijld GmbH,Sustainable wood-fiber clothing,Solingen,Timo Beelow,hello@wijld.com,+49 202 37329270,https://www.wijld.com/,https://www.wijld.com/policies/legal-notice,"Creates clothing from wood fibers and supports forest sponsorship; operating since 2015.","Strengthen sustainability storytelling, comparison pages, UGC, and retention.","Named director and public business inbox.",2026-06-12,Not contacted
A,HEJ ORGANIC,HEJ ORGANIC GmbH,Natural skincare,Dortmund,Laura Rath; Bettina Schellin,info@hejorganic.com,+49 231 53376860,https://hejorganic.com/,https://hejorganic.com/pages/impressum,"Product range highlights Skin Longevity, sets, travel sizes, and an 'Unperfekt' section.","Routine builder, bundle CRO, educational content, and replenishment flows.","Named directors and public business inbox.",2026-06-12,Not contacted
